date and time now = 24/02/2021 15:03:08
Ticker      24H Total    Prev    Recent    Change    Rockets    wallstreetbets    wallstreetbetsELITE    stocks    investing    SatoshiStreetBets    pennystocks    RobinHoodPennyStocks    StockMarket    Daytrading     Price    1DayChange%    50DayChange%    ChangeVol%  Float Shares    Industry                                Short/Float%
--------  -----------  ------  --------  --------  ---------  ----------------  ---------------------  --------  -----------  -------------------  -------------  ----------------------  -------------  ------------  --------  -------------  --------------  ------------  --------------  --------------------------------------  --------------
GME            193028  121436     71592    -49844        194            182789                   8434      1149            0                    1              0                     621             34             0    53.270         18.457         -28.278       -56.583  45045377        Specialty Retail                        0.7846
AMC             94040   51309     42731     -8578        908             28852                  61776      1069            2                    0              0                     196           2145             0     7.790          1.169          41.856        28.225  136293432       Entertainment                           0.157
TWO             39018   38959        59    -38900          7             38959                     59         0            0                    0              0                       0              0             0     7.330          4.416          14.065       -11.738  271391084       REIT—Mortgage                           0.024
CFO             24966      51     24915     24864          0             24641                     15        26          154                    0             19                     107              4             0    65.420          1.047           2.350        77.158  N/A             N/A                                     N/A
CPI             14670       7     14663     14656          0             14516                      0         0            0                    0             55                      99              0             0    27.291          0.022           0.123       -83.992  N/A             N/A                                     N/A
GDP             14557       0     14557     14557          1             14557                      0         0            0                    0              0                       0              0             0    10.670          0.188           3.318       -68.194  7644843         Oil & Gas E&P                           0.026600001
TSLA            11218    2436      8782      6346         32              9605                     24      1107          150                    0             79                      42            140            71   726.150          3.908         -11.948       -22.318  771319079       Auto Manufacturers                      0.0679
RISE             6908       0      6908      6908          0              6900                      8         0            0                    0              0                       0              0             0    19.945         -0.275           0.000         0.000  N/A             N/A                                     N/A
RUN              6859    6859         0     -6859          5              6837                      0        11           11                    0              0                       0              0             0    61.595          2.097         -22.050       -27.705  173562100       Solar                                   0.1533
PLTR             6714    1014      5700      4686         69              4573                     -1      2101            0                    0              0                      20             21             0    26.039         -2.657         -13.007       -12.768  1045816661      Software—Infrastructure                 0.0417
HUGE             4366    4308        58     -4250          0              4230                     57         0            0                    0              2                      77              0             0     2.170          6.901          -4.289       -49.480  16541905        Drug Manufacturers—Specialty & Generic  N/A
BEEN             4237    4237         0     -4237          1              4230                      7         0            0                    0              0                       0              0             0     2.660        232.500         104.140       468.594  N/A             Waste Management                        N/A
ARE              3189     562      2627      2065         17              1391                   1572         0            0                    0              4                      55            167             0   164.080          0.275          -2.718       -22.454  134981353       REIT—Office                             0.0506
FAM              3147    1781      1366      -415          0                 0                   3147         0            0                    0              0                       0              0             0    10.217         -0.806          -2.978       -14.032  N/A             Asset Management                        0.0027
INDEX            2831       0      2831      2831          0              2831                      0         0            0                    0              0                       0              0             0    40.810          0.320           3.408         0.000  N/A             N/A                                     N/A
NOK              2257     388      1869      1481          9              2226                     31         0            0                    0              0                       0              0             0     3.995          1.139          -6.991       -56.133  4758524992      Communication Equipment                 N/A
CCIV             1928     436      1492      1056          2              1385                     55         0            0                    0             36                      97            326            29    29.330        -16.700           8.238       238.001  N/A             Shell Companies                         N/A
WKHS             1896       0      1896      1896          0              1364                     15       366            0                    0              0                      29             50            72    14.720        -10.598         -51.950       480.360  112469372       Auto Manufacturers                      0.2209
LOVE             1858      39      1819      1780         15              1638                    180         1            0                    0              0                      39              0             0    62.245          3.586          17.782        -6.696  13003828        Furnishings, Fixtures & Appliances      0.23030001
SAFE             1832      23      1809      1786          0                 0                     23         0         1809                    0              0                       0              0             0    82.770          0.182           7.328       -20.492  18145787        REIT—Diversified                        0.0559
OPEN             1486     915       571      -344          3                38                    182       759            0                    0            507                       0              0             0    30.040          7.133           5.166        10.219  32670227        Real Estate Services                    N/A
CAN              1481     581       900       319         67               216                   1265         0            0                    0              0                       0              0             0    18.190          2.421         121.202       -15.169  80825530        Computer Hardware                       N/A
EPS              1370      82      1288      1206          2              1058                     12        83          153                    0             43                       0             21             0    42.090          0.790           2.392        29.529  N/A             N/A                                     N/A
NIO              1308     548       760       212          0               654                      0       286          150                    0              0                      20            130            68    50.778          3.397         -12.303       -40.641  1118305581      Auto Manufacturers                      N/A
PLUG             1148    1069        79      -990         11               629                     40       251            0                    0              0                      97            131             0    48.580          4.294         -18.727       -45.613  397637888       Electrical Equipment & Parts            0.0837
BIDU             1122    1021       101      -920          0                 0                      0       969            0                    0              0                       0            153             0   304.915         -5.485          16.720         1.850  266881933       Internet Content & Information          N/A
OSK              1116       7      1109      1102          6               851                     15       250            0                    0              0                       0              0             0   114.200          4.178          20.163       354.235  67872872        Farm & Heavy Construction Machinery     0.025999999
SNDL             1043      77       966       889          2               824                    105         0            0                    0              0                      95             19             0     1.351          7.230          24.226       -49.985  436611788       Drug Manufacturers—Specialty & Generic  0.0552
MSFT             1022     654       368      -286         11               988                      8        17            0                    0              0                       0              9             0   233.770          0.214           1.256       -37.345  7430892662      Software—Infrastructure                 0.0058999998
USPS             1003       7       996       989          3               678                      0       313            0                    0              0                       0              2            10     0.023        -25.325           1.405        63.279  N/A             Leisure                                 N/A
CIA               988     630       358      -272         11               988                      0         0            0                    0              0                       0              0             0     6.340          3.934           5.532         4.705  44213581        Insurance—Life                          0.1346
AAL               980     129       851       722          2               851                     59        15            0                    0              0                      55              0             0    21.795          5.494          30.827       -12.144  632664953       Airlines                                0.21030001
AMD               933     427       506        79         16               887                      1         1            0                    0              0                      20             24             0    86.050          1.546          -5.262       -21.746  1204278811      Semiconductors                          0.0653
POST              930     858        72      -786          0                22                    908         0            0                    0              0                       0              0             0    98.350         -0.213           0.246       -53.953  52611435        Packaged Foods                          0.035
ONE               924     294       630       336          0               599                     33         0          150                  121             20                       0              1             0     3.665          0.137          -5.124       -10.564  67957305        Education & Training Services           N/A
ALB               882     350       532       182          0               532                      0       178            0                    0             62                       0            110             0   160.380          3.725          -4.517       -25.812  116196234       Specialty Chemicals                     0.0366
CIO               863       0       863       863          0               825                      0         0           38                    0              0                       0              0             0    10.970          1.763          11.577       -34.309  42306113        REIT—Office                             0.0159
ARKW              853     807        46      -761          0                 0                      0       738           55                    0              0                      20             40             0   169.550         -0.358           1.237        34.018  N/A             N/A                                     N/A
DON               849     356       493       137          6               307                    291         0            0                    0            251                       0              0             0    39.095          1.678           6.515       -62.395  N/A             N/A                                     N/A
SPOT              848     749        99      -650          0                 0                      0       807            0                    0              0                       0             41             0   334.200         -0.627          -0.038       -28.762  136346471       Internet Content & Information          0.0293
ARKK              841     734       107      -627          0                -1                      0       799            0                    0              0                      20             23             0   137.485         -1.118          -4.937        96.400  N/A             N/A                                     N/A
AAPL              839      46       793       747          0               586                     26       100           41                    0              6                      20             60             0   124.390         -1.168          -6.708       -17.000  16770972142     Consumer Electronics                    0.0055
SURF              812     812         0      -812          0                 0                     24       733            0                    0              0                      55              0             0     9.020         -0.111         -19.384       -39.344  29880400        Biotechnology                           0.059299998
ABC               809     808         1      -807          0               805                      0         3            0                    0              0                       0              1             0   104.970         -1.409          -0.961       -49.083  147337251       Medical Distribution                    0.0186
TWTR              796     749        47      -702          0                47                      0       749            0                    0              0                       0              0             0    72.435         -1.005          29.825       -22.303  776210800       Internet Content & Information          0.0254
BEAM              795     733        62      -671          0                 0                      0       733            0                    0              0                       0              0            62    95.580         -0.933          -5.911        -3.643  31252030        Biotechnology                           0.13260001
PYPL              757     749         8      -741          0                 7                      0       750            0                    0              0                       0              0             0   265.240          0.091           3.357        -7.748  1169770349      Credit Services                         0.0135
ROKU              736     733         3      -730          0                 0                      1       733            0                    0              0                       0              2             0   409.715         -1.480          -2.487       -35.958  109078855       Entertainment                           0.0273
REGN              735     733         2      -731          0                 0                      0       733            0                    0              0                       0              2             0   460.460         -1.617          -8.235       -26.362  99403766        Biotechnology                           0.025
TCEHY             733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    88.660         -2.281           0.098        -9.495  5806234240      Internet Content & Information          N/A
ANSS              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0   382.900          1.954           2.134       -45.373  85551755        Software—Application                    0.0128
TSM               733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0   131.290          1.696           2.758        -8.736  4504715180      Semiconductors                          N/A
FATE              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    95.140         -0.356          -7.298       -65.252  73821538        Biotechnology                           0.1488
SSYS              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    35.280         -0.787         -11.081       -20.948  54189425        Computer Hardware                       0.1252
EXPC              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    16.500          0.794          10.642       -49.049  1358736         Shell Companies                         N/A
EXAS              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0   135.410         -2.379          -5.271       -39.394  167503686       Diagnostics & Research                  0.0574
TXG               733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0   179.720          2.061           2.019       -49.109  76600815        Health Information Services             0.012
CDNA              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    79.110          2.541          -5.871       -46.884  48442502        Diagnostics & Research                  0.1017
ARKQ              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    90.510          0.802          -0.272        28.729  N/A             N/A                                     N/A
MTLS              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    50.670          0.836         -26.032        18.079  20578099        Software—Application                    N/A
CMLF              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    20.295          3.758          35.632         9.367  N/A             Shell Companies                         N/A
RAVN              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    42.090          3.977          15.828       -52.180  35346778        Specialty Industrial Machinery          0.028900001
HON               733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0   211.410          3.107           3.555       -21.628  659759354       Specialty Industrial Machinery          0.0073
AVAV              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0   117.010          3.723          -1.409       -31.753  21865854        Aerospace & Defense                     0.0735
CRM               733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0   240.585          2.099           4.939       -56.655  881748900       Software—Application                    0.0293
TWST              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0   138.990          2.735         -18.229       -30.695  45514164        Diagnostics & Research                  0.0396
SGFY              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    36.550          3.278          -0.451       -76.180  71672           Health Information Services             N/A
RPTX              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    33.650          3.762         -10.264        -1.465  13942396        Biotechnology                           0.0298
HUBS              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0   515.220          2.305          23.536       -46.638  43956336        Software—Application                    0.028900001
GOEV              691     135       556       421          2               690                      0         0            0                    0              1                       0              0             0    14.055          6.720         -13.111       -53.404  14498167        Auto Manufacturers                      N/A
VERY              688      63       625       562         26                 0                    648        41            0                    1             -1                       0             -1             0    10.607          3.583          11.818       -80.227  1841228         Insurance—Life                          0.0084
GAIN              674     674         0      -674          3               674                      0         0            0                    0              0                       0              0             0    11.937          2.196           8.845       -46.729  N/A             Asset Management                        0.015700001
IDEX              673      79       594       515          0               532                     40         0            0                    0             24                      77              0             0     3.468          7.368          -8.496       -57.911  214082498       Software—Application                    0.1099
CDC               666     630        36      -594         11               666                      0         0            0                    0              0                       0              0             0    59.000          1.466           5.999       -31.979  N/A             N/A                                     N/A
CTXR              654      80       574       494          1                 0                     27         0            0                    0            357                     270              0             0     2.232         -4.611          70.600       172.938  67620225        Biotechnology                           0.041199997
MOST              652      10       642       632          8                 0                    651         0            0                    0              1                       0              0             0     3.500          0.000          -2.459        33.820  13687426        Health Information Services             N/A
THCB              643       0       643       643          0               535                     24         0            0                    0              0                      22              0            62    17.690        -14.459           0.016        21.740  388666          Shell Companies                         0.015
WWW               630     630         0      -630         11               630                      0         0            0                    0              0                       0              0             0    36.755          2.524          15.341       -49.063  80559198        Footwear & Accessories                  0.0558
AABB              630      19       611       592          9                 0                     12         0            0                    0            618                       0              0             0     0.290        -29.721         333.350       158.402  N/A             Other Industrial Metals & Mining        N/A
FSR               618       0       618       618          0               541                     15         0            0                    0              0                       0              0            62    22.666         39.141          43.152       481.043  133843577       Auto Manufacturers                      N/A
HITIF             618       0       618       618          0                 0                      2         0            0                    0            616                       0              0             0     0.607         -2.129          31.846        -0.316  198900007       Pharmaceutical Retailers                N/A
VALE              606      74       532       458          0               532                      0         0            0                    0             74                       0              0             0    18.058          0.882           2.733       -49.796  4532686710      Other Industrial Metals & Mining        N/A
SPY               594     290       304        14          1               138                      0       236            0                    0              7                       0            151            62   391.085          0.925           2.240       -16.605  N/A             N/A                                     N/A
BLNK              594       0       594       594          0               532                      0         0            0                    0              0                       0              0            62    41.240          6.316         -15.450       -69.259  27694825        Specialty Retail                        0.24870001
LAC               593      61       532       471          0               531                      0         0            0                    0             62                       0              0             0    19.730          6.706          -3.806       -52.183  79859436        Other Industrial Metals & Mining        N/A
RIDE              576       0       576       576          0               532                     44         0            0                    0              0                       0              0             0    20.785          5.561         -17.136       -32.162  99482345        Auto Manufacturers                      N/A
QQQ               571     289       282        -7          0                88                      0       268           12                    0             32                       0            162             9   322.510          0.320          -0.330        69.265  N/A             N/A                                     N/A
EXROF             551       0       551       551          0               532                      0         0            0                    0             19                       0              0             0     4.900          0.564          30.129       -30.110  99373161        Electrical Equipment & Parts            N/A
AYRO              550       0       550       550          0               532                      0         0            0                    0             18                       0              0             0     7.590         11.940           1.885       -39.392  12149895        Auto Manufacturers                      0.1275
CAAS              544      12       532       520          0               532                      0         0            0                    0             12                       0              0             0     6.000          2.566         -11.017       -94.813  8195774         Auto Parts                              0.0074
CLII              532       0       532       532          0               532                      0         0            0                    0              0                       0              0             0    16.077          8.997          -4.825       -44.497  N/A             Shell Companies                         N/A
GLCNF             532       0       532       532          0               532                      0         0            0                    0              0                       0              0             0     4.300         -0.693          16.420        13.024  10366026765     Other Industrial Metals & Mining        N/A
RMO               532       0       532       532          0               532                      0         0            0                    0              0                       0              0             0    13.030          3.167         -30.535       -26.771  185943844       Auto Parts                              N/A
XPEV              532       0       532       532          0               532                      0         0            0                    0              0                       0              0             0    38.410          1.319         -19.682       -44.744  347376052       Auto Manufacturers                      N/A
BYDDY             532       0       532       532          0               532                      0         0            0                    0              0                       0              0             0    56.540          0.071         -12.514        45.148  777070570       Auto Manufacturers                      N/A
SBE               532       0       532       532          0               532                      0         0            0                    0              0                       0              0             0    34.150          2.923         -13.859       -74.405  23298105        Shell Companies                         N/A
BHP               532       0       532       532          0               532                      0         0            0                    0              0                       0              0             0    79.910          1.602          12.382       -17.532  2506679045      Other Industrial Metals & Mining        N/A
SQM               532       0       532       532          0               532                      0         0            0                    0              0                       0              0             0    57.480          1.304           3.761       -31.428  63519849        Chemicals                               N/A
