date and time now = 21/02/2021 18:31:18
Ticker      24H Total    Recent    Prev    Change    Rockets    wallstreetbets    wallstreetbetsELITE    stocks    investing    SatoshiStreetBets    pennystocks    RobinHoodPennyStocks    StockMarket    Daytrading     Price    1DayChange%    50DayChange%    ChangeVol%  Float Shares    Industry                                Short/Float%
--------  -----------  --------  ------  --------  ---------  ----------------  ---------------------  --------  -----------  -------------------  -------------  ----------------------  -------------  ------------  --------  -------------  --------------  ------------  --------------  --------------------------------------  --------------
GME            119002     33953   85049    -51096        129            114654                   1874      2052           15                   13             20                       5            364             5    40.590         -0.246         -45.973       -56.780  45045377        Specialty Retail                        0.7846
AMC             28914     14079   14835      -756        362              9843                  18945        30            0                    0             38                       9             34            15     5.700          3.448           4.407       -68.277  136293432       Entertainment                           0.157
APHA            11920        25   11895    -11870          0             11728                      0       133            5                    0             54                       0              0             0    20.250          5.304          42.063        -4.458  312567697       Drug Manufacturers—Specialty & Generic  N/A
XRT             10434        10   10424    -10414          0             10350                      0         0            0                    0              0                       0             84             0    79.150          1.487           3.999       -60.360  N/A             N/A                                     N/A
MGMT             9158      9158       0      9158          0              9158                      0         0            0                    0              0                       0              0             0    32.219          0.329           8.707       -87.103  N/A             N/A                                     N/A
LOGI             6065      4956    1109      3847          0              4956                      0        83         1026                    0              0                       0              0             0   116.410          0.535           8.327       -38.162  167544617       Computer Hardware                       0.0615
NIO              5478      5065     413      4652          3              5321                      0       133            0                    0             17                       0              0             7    55.040          1.121          -5.301       -65.664  1118305581      Auto Manufacturers                      N/A
PLTR             5307      1699    3608     -1909        108              4901                     33       322            5                    0              5                       0             41             0    29.000         15.216          -3.305       288.067  1045816661      Software—Infrastructure                 0.0417
HST              4956      4956       0      4956          0              4956                      0         0            0                    0              0                       0              0             0    16.740          4.429          15.239        49.807  697287900       REIT—Hotel & Motel                      0.0868
NOK              4327      1250    3077     -1827          4              3241                      0         0            0                    0              0                       0           1086             0     4.070         -1.214          -5.469       -67.168  4758524992      Communication Equipment                 N/A
IBKR             4267      1392    2875     -1483          0              4203                     14         5            0                    0             45                       0              0             0    74.530         -0.040           8.063       -14.195  75091763        Capital Markets                         0.0297
IBM              3223       268    2955     -2687          0               247                     11         0         2950                   10              0                       0              5             0   118.990         -1.441          -3.814         3.780  890939764       Information Technology Services         0.0301
JPM              2767        11    2756     -2745          0              2761                      0         6            0                    0              0                       0              0             0   148.020          1.669           8.446       -10.970  3023266642      Banks—Diversified                       0.0069
ITM              2732        14    2718     -2704          0              2713                      0        14            5                    0              0                       0              0             0    51.780         -0.270          -0.563       100.743  N/A             N/A                                     N/A
PSLV             2682         0    2682     -2682          1              2677                      5         0            0                    0              0                       0              0             0     9.810         -0.909           3.886       187.656  N/A             N/A                                     N/A
SLV              2671        10    2661     -2651          0              2671                      0         0            0                    0              0                       0              0             0    25.260          0.798           2.851        -1.048  N/A             N/A                                     N/A
NEXT             1799      1669     130      1539          1               165                     35      1545            0                   10             12                       0             32             0     2.300          0.437          -4.173       -29.553  12626602        Oil & Gas E&P                           0.016900001
PLUG             1729      1582     147      1435          0                15                      0      1682            0                    0              0                       0             32             0    55.890         11.268          -7.024       -15.267  397637888       Electrical Equipment & Parts            0.0837
DKNG             1724      1576     148      1428          0                 9                      0      1673            0                    0              0                       0             42             0    60.910          4.513           9.204       -27.495  331542665       Gambling                                N/A
LINK             1698      1620      78      1542          0                10                      0      1540            0                   55             23                      38             32             0    14.400          4.956          36.852       -49.183  1060906         Electronic Components                   0.082200006
AMD              1673      1456     217      1239         42              1435                      8       200           16                    0              0                       0              7             7    89.580          1.060          -1.555       -32.783  1204278811      Semiconductors                          0.0653
MOST             1649      1609      40      1569          0                 0                      4      1540            0                    0             73                       0             32             0     3.530          0.000          -1.671       -81.985  13687426        Health Information Services             N/A
NVDA             1628      1576      52      1524         39                52                      4      1540            0                    0              0                       0             32             0   597.060          0.657           8.564        -3.461  593441490       Semiconductors                          0.0112
OPEN             1607      1581      26      1555          0                 4                      0      1540            0                    0             31                       0             32             0    31.580          1.283          10.682        20.850  32670227        Real Estate Services                    N/A
EPS              1592       281    1311     -1030          2               328                     37       137         1052                    0              0                      38              0             0    41.849         -0.144           1.852       -48.543  N/A             N/A                                     N/A
GDP              1584      1572      12      1560          0                12                      0      1540            0                    0              0                       0             32             0    10.710          0.469           3.785        20.313  7644843         Oil & Gas E&P                           0.026600001
CRM              1583      1577       6      1571          0                 5                      0      1546            0                    0              0                       0             32             0   246.560         -0.182           7.711       -51.416  881748900       Software—Application                    0.0293
JMIA             1582      1577       5      1572          0                10                      0      1540            0                    0              0                       0             32             0    55.920          2.549           6.447       -70.432  71067465        Internet Retail                         N/A
OSTK             1580      1572       8      1564          0                 0                      0      1548            0                    0              0                       0             32             0   101.200          4.030          29.870       -47.580  42141174        Internet Retail                         0.1099
LPL              1577      1577       0      1577          0                 5                      0      1540            0                    0              0                       0             32             0    11.190          3.803          11.798        30.345  444342693       Consumer Electronics                    N/A
MRNA             1576      1572       4      1568          0                 0                      4      1540            0                    0              0                       0             32             0   174.740          3.049          16.851       -72.603  324379401       Biotechnology                           0.0657
DPZ              1572      1572       0      1572          0                 0                      0      1540            0                    0              0                       0             32             0   371.460         -1.506          -1.974        -2.539  39114257        Restaurants                             0.0437
IWN              1572      1572       0      1572          0                 0                      0      1540            0                    0              0                       0             32             0   152.190          2.079           5.588        -1.475  N/A             N/A                                     N/A
TJX              1572      1572       0      1572          0                 0                      0      1540            0                    0              0                       0             32             0    67.690         -0.893           0.296       -33.889  1198614126      Apparel Retail                          0.0082
DVY              1572      1572       0      1572          0                 0                      0      1540            0                    0              0                       0             32             0   105.530          1.354           4.807        -3.905  N/A             N/A                                     N/A
MTD              1572      1572       0      1572          0                 0                      0      1540            0                    0              0                       0             32             0  1165.450          1.299          -3.203        24.103  23025797        Diagnostics & Research                  0.0221
IVE              1572      1572       0      1572          0                 0                      0      1540            0                    0              0                       0             32             0   134.340          0.314           2.591       226.251  N/A             N/A                                     N/A
IJS              1572      1572       0      1572          0                 0                      0      1540            0                    0              0                       0             32             0    94.040          1.830           5.267       -48.356  N/A             N/A                                     N/A
TREE             1572      1572       0      1572          0                 0                      0      1540            0                    0              0                       0             32             0   344.650          3.415           7.843       -41.909  11383899        Mortgage Finance                        0.2504
